Class;Timestamp;Framecount;SessionID;Email;$Coord 0;$Coord 1;$Coord 2;$Coord 3;$Coord 4;$Coord 5;$Coord 6;$Coord 7;$Coord 8;$Coord 9;$Coord 10;$Coord 11;$Coord 12
0;2023-04-05 09:24:49.1870;1;72241a4129f3771d014ceed3c6624ad3;anonymous;0.0000;1.1176;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;1.1176;0.0000;0.0000;1.1176;0.0000
0;2023-04-05 09:24:49.3406;2;72241a4129f3771d014ceed3c6624ad3;anonymous;0.0000;1.1176;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;1.1176;0.0000;0.0000;1.1176;0.0000
0;2023-04-05 09:24:50.8297;3;72241a4129f3771d014ceed3c6624ad3;anonymous;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0;2023-04-05 09:24:50.9145;4;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0221;1.7174;0.2160;0.0839;-0.5735;0.0495;0.8134;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0;2023-04-05 09:24:51.0354;5;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0226;1.7177;0.2160;0.0830;-0.5743;0.0494;0.8129;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0;2023-04-05 09:24:51.0638;6;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0233;1.7177;0.2159;0.0824;-0.5752;0.0494;0.8124;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0;2023-04-05 09:24:51.1553;7;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0247;1.7194;0.2160;0.0761;-0.5779;0.0424;0.8114;0.0198;0.8045;0.3977;-0.1407;0.7746;0.0644
0;2023-04-05 09:24:51.1843;8;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0245;1.7192;0.2160;0.0767;-0.5776;0.0430;0.8116;0.0197;0.8045;0.3978;-0.1408;0.7746;0.0644
0;2023-04-05 09:24:51.2737;9;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0264;1.7281;0.2091;0.0509;-0.6209;0.0078;0.7822;0.0220;0.8038;0.3983;-0.1391;0.7743;0.0633
0;2023-04-05 09:24:51.3441;10;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0263;1.7279;0.2084;0.0498;-0.6236;0.0112;0.7800;0.0229;0.8033;0.3981;-0.1384;0.7742;0.0626
0;2023-04-05 09:24:51.6151;11;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0270;1.7287;0.2088;0.0445;-0.6217;0.0099;0.7819;0.0205;0.8046;0.3988;-0.1404;0.7750;0.0643
0;2023-04-05 09:24:51.7266;12;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0265;1.7340;0.2062;0.0250;-0.6433;-0.0075;0.7652;0.0208;0.8043;0.3996;-0.1396;0.7748;0.0655
0;2023-04-05 09:24:51.7886;13;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0271;1.7312;0.2095;0.0362;-0.6337;-0.0002;0.7727;0.0202;0.8044;0.3995;-0.1392;0.7751;0.0655
0;2023-04-05 09:24:51.8866;14;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0274;1.7288;0.2145;0.0446;-0.6189;0.0050;0.7842;0.0194;0.8043;0.4001;-0.1384;0.7753;0.0654
0;2023-04-05 09:24:51.9301;15;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0268;1.7279;0.2160;0.0452;-0.6130;0.0088;0.7887;0.0194;0.8044;0.3997;-0.1357;0.7748;0.0639
0;2023-04-05 09:24:51.9566;16;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0266;1.7276;0.2168;0.0466;-0.6088;0.0103;0.7919;0.0182;0.8047;0.4004;-0.1379;0.7755;0.0641
0;2023-04-05 09:24:52.0027;17;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0259;1.7264;0.2188;0.0510;-0.5999;0.0151;0.7983;0.0174;0.8053;0.4007;-0.1380;0.7765;0.0646
0;2023-04-05 09:24:52.0538;18;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0253;1.7256;0.2191;0.0533;-0.5976;0.0174;0.7998;0.0176;0.8050;0.4004;-0.1398;0.7765;0.0649
0;2023-04-05 09:24:52.0898;19;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0252;1.7251;0.2195;0.0549;-0.5956;0.0194;0.8012;0.0176;0.8048;0.4003;-0.1395;0.7765;0.0651
0;2023-04-05 09:24:52.1279;20;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0251;1.7248;0.2198;0.0560;-0.5930;0.0197;0.8030;0.0172;0.8049;0.4005;-0.1392;0.7763;0.0651
0;2023-04-05 09:24:52.1655;21;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0250;1.7246;0.2202;0.0572;-0.5904;0.0209;0.8048;0.0171;0.8049;0.4005;-0.1392;0.7762;0.0652
0;2023-04-05 09:24:52.1735;22;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0251;1.7246;0.2204;0.0572;-0.5900;0.0207;0.8051;0.0175;0.8048;0.4002;-0.1391;0.7762;0.0651
0;2023-04-05 09:24:52.1996;23;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0248;1.7238;0.2220;0.0603;-0.5821;0.0228;0.8106;0.0175;0.8048;0.4002;-0.1389;0.7762;0.0648
0;2023-04-05 09:24:52.2221;24;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0248;1.7237;0.2229;0.0610;-0.5781;0.0227;0.8134;0.0173;0.8048;0.4004;-0.1386;0.7759;0.0647
0;2023-04-05 09:24:52.2486;25;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0248;1.7236;0.2239;0.0622;-0.5734;0.0224;0.8166;0.0170;0.8050;0.4005;-0.1386;0.7758;0.0646
0;2023-04-05 09:24:52.2856;26;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0247;1.7234;0.2249;0.0634;-0.5687;0.0223;0.8198;0.0170;0.8053;0.4005;-0.1385;0.7757;0.0644
0;2023-04-05 09:24:52.3307;27;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0247;1.7233;0.2257;0.0643;-0.5649;0.0222;0.8223;0.0172;0.8051;0.4005;-0.1383;0.7757;0.0644
0;2023-04-05 09:24:52.3588;28;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0249;1.7235;0.2254;0.0636;-0.5668;0.0216;0.8211;0.0172;0.8047;0.4006;-0.1378;0.7754;0.0642
0;2023-04-05 09:24:52.4039;29;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0243;1.7228;0.2299;0.0671;-0.5441;0.0209;0.8361;0.0176;0.8047;0.4002;-0.1369;0.7746;0.0636
0;2023-04-05 09:24:52.4274;30;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0224;1.7228;0.2336;0.0686;-0.5246;0.0204;0.8483;0.0180;0.8046;0.3999;-0.1372;0.7746;0.0636
0;2023-04-05 09:24:52.4474;31;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0196;1.7228;0.2391;0.0691;-0.4959;0.0209;0.8654;0.0187;0.8046;0.4001;-0.1375;0.7744;0.0642
0;2023-04-05 09:24:52.4720;32;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0180;1.7227;0.2420;0.0685;-0.4803;0.0210;0.8742;0.0192;0.8047;0.4003;-0.1373;0.7743;0.0646
0;2023-04-05 09:24:52.4986;33;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0138;1.7230;0.2493;0.0667;-0.4411;0.0184;0.8948;0.0201;0.8051;0.4011;-0.1364;0.7733;0.0646
0;2023-04-05 09:24:52.6341;34;72241a4129f3771d014ceed3c6624ad3;anonymous;-0.0126;1.7230;0.2517;0.0667;-0.4276;0.0180;0.9013;0.0204;0.8052;0.4012;-0.1363;0.7731;0.0647
0;2023-04-05 09:24:52.7286;35;72241a4129f3771d014ceed3c6624ad3;anonymous;0.0055;1.7230;0.2721;0.0639;-0.3071;0.0054;0.9495;0.0225;0.8093;0.4061;-0.1372;0.7706;0.0728
0;2023-04-05 09:24:52.8129;36;72241a4129f3771d014ceed3c6624ad3;anonymous;0.0280;1.7200;0.2900;0.0712;-0.1846;-0.0054;0.9802;0.0416;0.8099;0.4119;-0.1528;0.7740;0.1040
0;2023-04-05 09:24:52.8404;37;72241a4129f3771d014ceed3c6624ad3;anonymous;0.0293;1.7194;0.2909;0.0732;-0.1810;-0.0059;0.9807;0.0443;0.8102;0.4136;-0.1529;0.7740;0.1081
0;2023-04-05 09:24:52.8535;38;72241a4129f3771d014ceed3c6624ad3;anonymous;0.0291;1.7192;0.2906;0.0740;-0.1836;-0.0058;0.9802;0.0443;0.8102;0.4136;-0.1529;0.7740;0.1081
0;2023-04-05 09:24:52.8702;39;72241a4129f3771d014ceed3c6624ad3;anonymous;0.0296;1.7189;0.2909;0.0757;-0.1828;-0.0058;0.9802;0.0457;0.8103;0.4151;-0.1536;0.7736;0.1091
0;2023-04-05 09:24:52.9032;40;72241a4129f3771d014ceed3c6624ad3;anonymous;0.0314;1.7183;0.2924;0.0775;-0.1776;-0.0061;0.9810;0.0498;0.8106;0.4176;-0.1547;0.7735;0.1143
0;2023-04-05 09:24:52.9252;41;72241a4129f3771d014ceed3c6624ad3;anonymous;0.0304;1.7188;0.2918;0.0748;-0.1829;-0.0060;0.9803;0.0500;0.8105;0.4175;-0.1541;0.7737;0.1145
0;2023-04-05 09:24:52.9447;42;72241a4129f3771d014ceed3c6624ad3;anonymous;0.0324;1.7188;0.2936;0.0740;-0.1751;-0.0061;0.9818;0.0547;0.8107;0.4197;-0.1554;0.7742;0.1213
0;2023-04-05 09:24:52.9727;43;72241a4129f3771d014ceed3c6624ad3;anonymous;0.0328;1.7190;0.2939;0.0732;-0.1753;-0.0048;0.9818;0.0574;0.8104;0.4207;-0.1567;0.7753;0.1263
0;2023-04-05 09:24:52.9967;44;72241a4129f3771d014ceed3c6624ad3;anonymous;0.0334;1.7194;0.2946;0.0713;-0.1730;-0.0051;0.9823;0.0599;0.8102;0.4213;-0.1582;0.7769;0.1316
0;2023-04-05 09:24:53.0189;45;72241a4129f3771d014ceed3c6624ad3;anonymous;0.0343;1.7198;0.2954;0.0691;-0.1694;-0.0051;0.9831;0.0621;0.8099;0.4218;-0.1599;0.7787;0.1368
0;2023-04-05 09:24:53.0424;46;72241a4129f3771d014ceed3c6624ad3;anonymous;0.0339;1.7197;0.2951;0.0695;-0.1713;-0.0043;0.9828;0.0607;0.8098;0.4211;-0.1599;0.7780;0.1357
0;2023-04-05 09:24:53.0684;47;72241a4129f3771d014ceed3c6624ad3;anonymous;0.0366;1.7195;0.2976;0.0693;-0.1620;-0.0043;0.9843;0.0659;0.8097;0.4230;-0.1630;0.7804;0.1488
0;2023-04-05 09:24:53.0946;48;72241a4129f3771d014ceed3c6624ad3;anonymous;0.0384;1.7188;0.2991;0.0723;-0.1557;-0.0064;0.9851;0.0671;0.8101;0.4239;-0.1632;0.7808;0.1515
0;2023-04-05 09:24:53.1210;49;72241a4129f3771d014ceed3c6624ad3;anonymous;0.0401;1.7176;0.3007;0.0767;-0.1485;-0.0088;0.9859;0.0681;0.8107;0.4258;-0.1605;0.7785;0.1511
0;2023-04-05 09:24:53.1484;50;72241a4129f3771d014ceed3c6624ad3;anonymous;0.0421;1.7164;0.3025;0.0812;-0.1404;-0.0100;0.9867;0.0690;0.8115;0.4282;-0.1591;0.7783;0.1539
